cname,aname
Iron Man,Tony Stark
Spider-Man,Peter Parker
Hulk,Bruce Banner
Captain America,Steve Rogers
Abomination,Emil Blonsky
A-Bomb (Marvel),Richard Jones
A-Bomb (Marvel),Rick Jones
Absorbing Man,Carl Crusher Creel
Archangel,Warren Kenneth Worthington III
Beast (X-Men),Henry McCoy
Beetle (Marvel),Janice Lincoln
Black Bolt,Blackagar Boltagon
Black Cat (Marvel),Felicia Hardy
Black Panther,T'Challa
Black Widow,Natasha Romanoff
Blade (Marvel),Eric Cross Brooks
Blob (Marvel),Frederick Dukes
Captain Britain,Brian Braddock
Colossus,Piotr Rasputin
The Lizard (Marvel),Curtis Connors
Cyclops,Scott Summers
Daredevil,Matthew Murdock
Phoenix (Marvel),Jean Grey
Deadpool,Wade Wilson
Doctor Doom,Victor von Doom
Doctor Strange,Stephen Strange
Doctor Octopus,Dr. Otto Octavius
Doctor Octopus,Doc Ock
Drax the Destroyer,Drax
Electro (Marvel),Max Dillon
Falcon (Marvel),Sam Wilson
Gambit,Remy LeBeau
Ghost Rider,Johnny Blaze
Green Goblin,Norman Osborn
H.E.R.B.I.E.,Highly Engineered Robot Built for Interdimensional Exploration
Hawkeye,Clint Barton
Human Torch,Jonathan Storm
Iceman (X-Men),Robert Drake
Invisible Woman,Susan Storm
Iron Fist,Daniel Rand
War Machine,James Rhodes
Juggernaut (X-Men),Cain Marko
Kingpin (Marvel),Wilson Fisk
Kraven the Hunter,Sergei Kravinoff
Kurse,Älgrim the Strong
M.O.D.O.K.,George Tarleton
M.O.D.O.K.,Mental Organism Designed Only for Killing
Magneto,Max Eisenhardt
Mastermind,Jason Wyngarde
Mister Fantastic,Reed Richards
Moon Knight,Marc Spector
Ms. Marvel,Kamala Khan
Mysterio,Quentin Beck
Mystique,Raven Darkhölme
Nova (Marvel),Richard Rider
Polaris (Marvel),Lorna Dane
Power Man (Marvel),Luke Cage
Professor X,Charles Xavier
Psylocke,Betsy Braddock
Punisher,Frank Castle
Red Hulk,Thaddeus Ross
Red Skull,Johann Shmidt
Rhino (Marvel),Aleksei Sytsevich
Sabretooth,Victor Creed
Sandman (Marvel),William Baker
She-Hulk,Jennifer Walters
Shocker (Marvel),Herman Schultz
Silver Samurai,Keniuchio Harada
Silver Surfer,Norrin Radd
Spider-Woman,Jessica Drew
Squirrel Girl,Doreen Green
Star-Lord,Peter Quill
Storm (Marvel),Ororo Munroe
Taskmaster,Tony Masters
The Thing,Ben Grimm
Toad (Marvel),Mortimer Toynbee
Union Jack,Joseph Chapman
Viper (Marvel),Ophelia Sarkissian
Vulture (Marvel),Adrian Toomes
Wasp (Marvel),Janet van Dyne
Whiplash (Marvel),Ivan Vanko
Winter Soldier,Bucky Barnes
The Wizard (Marvel),Bentley Wittman
Wolverine,James Logan Howlett
Lo Wang,Luō Wáng
Sailor Moon,Usagi Tsukino
Yogscast (Simon),Simon Lane
Heather Mason,Cheryl Mason
SuperHorrorBro,Mike Babridge
Dawko,Lewis K. Dawkins
Dr. Kawashima,Ryuta Kawashima
François Kevorkian,François K
Baby Chris,Chris Lighty
Gial Ackbar,Admiral Ackbar
Ushos O. Statura,Admiral Statura
Nastia Unamo,Chief Petty Officer Unamo
Sheev Palpatine,Darth Sidious
Sheev Palpatine,Emperor Palpatine
Armitage Hux,General Hux
Leia Organa,Princess Leia
Kaydel Ko Connix,Lieutenant Connix
Dopheld Mitaka,Lieutenant Mitaka
Harter Kalonia,Major Kalonia
Taslin Brance,Major Brance
J. J. Abrams,Jeffrey Jacob Abrams
Lisa Hamilton,La Mariposa
Arin Hanson,Egoraptor
Josh Schmitstinstein,Schmitty
Charles Montgomery Burns,Mr. Burns
Bender,Bender Bending Rodríguez
Akira Toriyama,Tori-Bot
Bor Burison,Borr
Heimdall,Heimdallr
Hela,Hel
Odin Borson,Odin
Surtur,Surtr
Hua Mulan,Fa Mulan
Hercules,Heracles
Minotaur,Asterion
Boudica,Boudicca
Ramesses II,Ozymandias
Minamoto no Yoshitsune,Ushiwakamaru
Minamoto no Yorimitsu,Minamoto no Raikō
Sakata Kintoki,Kintarō
Gao Changgong,Prince of Lanling
Xuanzang,Sanzang
Rani of Jhansi,Lakshmibai
Ishtar,Inanna
Attila the Hun,Etzel
Kiso no Yoshinaka,Minamoto no Yoshinaka
Akuma,Gouki
Phoenix Wright,Ryūichi Naruhodō
Maya Fey,Mayoi Ayasato
Randy Savage,Macho Man
The Undertaker,Mark Calaway
Dwayne Johnson,The Rock
Philip Champion,Hot Sauce
Luis Da Silva,Trikz
Metta Sandiford-Artest,Ron Artest
Metta Sandiford-Artest,Metta World Peace
Edy Tavares,Walter Tavares
Earvin Johnson,Magic Johnson
Penny Hardaway,Anfernee Hardaway
Poseidon,Neptune
Cronus,Chronos
Cronus,Kronos
Cronus,Saturn
Eros,Cupid
Don Quixote,Alonso Quixano
Montezuma,Moctezuma II
Gronkh,Gregor Onkh
Gronkh,Erik Range
Patric Mueller,Dingir Bhaak
Timur,Tamerlaine
Lucretius,Titus Carus
Koji Igarashi,IGA
Isis,Eset
Serket,Serqet
Hephaestus,Vulcan
Hermes,Mercury
Silvanus,Sylvanus
Silvanus,Silenus
Nyx,Nox
Bellona,Enyo
Ao Guang,Ao Kuang
Freyja,Freya
Gaia,Terra
Dionysus,Bacchus
Zhang Jue,Zhang Jiao
Yamanaka Yukimori,Yamanaka Shikanosuke
Dilu,Hex Mark
Zhaohuang Feidian,Yellow-Hoofed Flying-Lightning
Cai Yan,Cai Wenji
Yagyū Muneyoshi,Yagyū Munetoshi
Yagyū Muneyoshi,Yagyū Sougon
Akiyama Torashige,Akiyama Nobutomo
Furuta Shigenari,Furuta Oribe
Miyoshi Sōi,Miyoshi Masayasu
Mori Tomonobu,Mori Tahē
Noisshiki Sukeyoshi,Noisshiki Tanomo
Shima Kiyooki,Shima Sakon
Yamakawa Katanobu,Yamakawa Kanenobu
Kasahara Masaharu,Kasahara Masataka
Narita Yasuchika,Narita Nagatada
Ōta Ujifusa,Hōjō Ujifusa
Inō Noritsura,Iio Noritsura
Oniniwa Yoshinao,Oniniwa Sagetsu
Ujiie Akiuji,Ujiie Mitsuuji
Kani Yoshinaga,Kani Saizō
Oda Nobutaka,Oda Nobunori
Yamaji Masakuni,Yamaji Shōgen
Aya-Gozen,Sentō-in
Kaneko Yasukiyo,Kaneko Minonokami
Okudaira Nobumasa,Okudaira Sadamasa
Akechi Shigetomo,Mizoo Shigetomo
Shimotsuma Chūkō,Shimotsuma Nakataka
Shimotsuma Chūkō,Shimozuma Chūkō
Shimotsuma Chūkō,Shimozuma Nakataka
Asakura Kagetoshi,Asakura Kagenori
Asakura Kagetoshi,Asakura Kagetada
Nabika Yasuie,Namikawa Yasuie
Akashi Takenori,Akashi Teruzumi
Hashiba Hidenaga,Toyotomi Hidenaga
Hōjō Tsunashige,Hōjō Tsunanari
Katakura Kagetsuna,Katakura Kojūrō
Dom Justo Takayama Shigetomo,Takayama Ukon
Hachisuka Masakatsu,Hachisuka Koroku
Inaba Yoshimichi,Inaba Ittetsu
Takigawa Kazumasu,Takigawa Ichimasu
Ujiie Naotomo,Ujiie Bokuzen
Anayama Nobutada,Anayama Baisetsu
Anayama Nobutada,Anayama Nobukimi
Baba Nobuharu,Baba Nobufusa
Kōsaka Masanobu,Kasuga Toratsuna
Katō Yoshiaki,Katō Yoshiakira
Komatsuhime,Inahime
Ban Naoyuki,Ban Dan'emon
Gotō Mototsugu,Gotō Matabē
Mori Ranmaru,Mori Naritoshi
Hattori Hanzō,Hattori Masanari
Suzuki Magoichi,Saika Magoichi
Suzuki Magoichi,Suzuki Shigehide
Kuroda Yoshitaka,Kuroda Kanbē
Toyotomi Hideyoshi,Hashiba Hideyoshi
Maeda Toshimasu,Maeda Keiji
Richard I of England,Richard the Lionheart
Zheng Yi Sao,Ching Shih
Matt Cross,M-Dogg 20
Robert Bruce,Evil Dead
Nate Webb,El Drunko
Lester Perfors,Supreme
William Regal,Steven Regal
Rey Mysterio,Rey Mysterio Jr.
Dave Bautista,Batista
Vince McMahon,Mr. McMahon
John Morrison,Johnny Nitro
Marcus Cor Von,Monty Brown
Ken Anderson,Mr. Kennedy
Kevin Nash,Diesel
Scott Hall,Razor Ramon
Sean Waltman,Syxx
Big Show,The Giant
Aron Stevens,Damien Sandow
Fred Rosser,Darren Young
Justin Gabriel,PJ Black
Brodus Clay,Tyrus
Dean Ambrose,Jon Moxley
Jake Hager,Jack Swagger
Matt Bloom,Tensai
Curt Hennig,Mr. Perfect
will.i.am,William Adams
apl.de.ap,Allan Pineda Lindo
Taboo,Jamie Luis Gomez
Little John,John Little
Lil Romeo,Romeo Miller
Phœbus de Châteaupers,Captain Phoebus
Beat (The World Ends With You),Daisukenojo Bito
CLU,Codified Likeness Utility
Timothy Cratchit,Tiny Tim
Darius I,Darius the Great
K'inich Janaab' Pakal,Pacal II
William of Orange,William the Silent
William of Orange,Willem van Oranje
Moctezuma I,Montezuma I
Ashoka,Asoka
John II of Portugal,João II
Mehmed the Conqueror,Mehmed II
Taejo of Goryeo,Wang Kon
ProZD,SungWon Cho
Kappa,Josh DeSeno
BasicallyIDoWrk,Marcel Cunningham
Daithi De Nogla,David Nagle
Xelu,Nicolae Berbece
Wren Weichman,SirWrender
